iter	MultiClass
0	4.430860161
1	4.385675593
2	4.330281381
3	4.289412829
4	4.251702842
5	4.215672235
6	4.166741289
7	4.123426435
8	4.080361628
9	4.044012899
10	4.013292408
11	3.975755387
12	3.949275151
13	3.917125407
14	3.886974453
15	3.857894561
16	3.829612483
17	3.799159566
18	3.765085971
19	3.736567821
20	3.710358924
21	3.67477087
22	3.643967775
23	3.614354349
24	3.5902484
25	3.561249226
26	3.537218152
27	3.511940989
28	3.488009435
29	3.4680137
30	3.444942057
31	3.419297898
32	3.395351153
33	3.372684201
34	3.350404359
35	3.330367928
36	3.310933379
37	3.293131841
38	3.272116465
39	3.251708887
40	3.233606705
41	3.215532154
42	3.197375667
43	3.180952272
44	3.162694223
45	3.140238354
46	3.122140324
47	3.103933874
48	3.088776651
49	3.071919531
50	3.056706311
51	3.042240552
52	3.027029096
53	3.011572161
54	2.993741243
55	2.975215039
56	2.961864504
57	2.948409291
58	2.931828139
59	2.915445936
60	2.902117715
61	2.890006588
62	2.874840738
63	2.863107772
64	2.850606319
65	2.837419073
66	2.822150312
67	2.808821809
68	2.794961539
69	2.783101852
70	2.772810051
71	2.760589412
72	2.747294352
73	2.733993482
74	2.722918154
75	2.71071616
76	2.697795853
77	2.685180656
78	2.672943719
79	2.660338645
80	2.648079337
81	2.637169152
82	2.626972159
83	2.616426277
84	2.606334406
85	2.595455887
86	2.585900986
87	2.574534425
88	2.562544548
89	2.55216471
90	2.542308538
91	2.532152995
92	2.522770444
93	2.510640441
94	2.502739746
95	2.493635018
96	2.482763368
97	2.474033835
98	2.462716226
99	2.453416797
100	2.443927045
101	2.434079425
102	2.425536198
103	2.415597416
104	2.408864898
105	2.399784423
106	2.389912854
107	2.379881822
108	2.370902549
109	2.361631029
110	2.353167715
111	2.343840472
112	2.334924667
113	2.326735094
114	2.319122898
115	2.31058084
116	2.302462066
117	2.29431615
118	2.286350088
119	2.278314721
120	2.270167602
121	2.262655208
122	2.255583769
123	2.247466248
124	2.240440773
125	2.233442933
126	2.226092243
127	2.219299065
128	2.211313492
129	2.203943357
130	2.196777522
131	2.189420767
132	2.183530747
133	2.175678169
134	2.169326463
135	2.162193278
136	2.154178382
137	2.146969069
138	2.141325495
139	2.134574402
140	2.127083064
141	2.12105658
142	2.114442875
143	2.106925612
144	2.099587352
145	2.092982612
146	2.086376359
147	2.080031648
148	2.073631391
149	2.067066374
150	2.060857516
151	2.054563643
152	2.04934091
153	2.043878902
154	2.038436999
155	2.032146672
156	2.026009433
157	2.019750038
158	2.014233445
159	2.009309575
160	2.002549599
161	1.995948154
162	1.989280601
163	1.983375325
164	1.977374104
165	1.971701701
166	1.966058791
167	1.960212869
168	1.954240445
169	1.948120088
170	1.942204888
171	1.936085906
172	1.930955549
173	1.92595531
174	1.920649686
175	1.915886556
176	1.910563832
177	1.905516978
178	1.90101184
179	1.89613529
180	1.889884109
181	1.884026402
182	1.879873623
183	1.874667807
184	1.869718449
185	1.864792632
186	1.85971582
187	1.854737663
188	1.849589882
189	1.844389276
190	1.839610578
191	1.835057738
192	1.8301147
193	1.82556805
194	1.8204379
195	1.815507259
196	1.811124526
197	1.806461279
198	1.801512096
199	1.796979141
200	1.79208367
201	1.788340034
202	1.783468117
203	1.779019734
204	1.775154981
205	1.770819639
206	1.76646354
207	1.762114688
208	1.756700377
209	1.752000611
210	1.747485631
211	1.743027435
212	1.738681794
213	1.734345687
214	1.72965738
215	1.726302829
216	1.722250332
217	1.717868974
218	1.713591812
219	1.709281593
220	1.705246423
221	1.701142486
222	1.696853029
223	1.692639696
224	1.688613656
225	1.684754929
226	1.680472386
227	1.677205834
228	1.673262136
229	1.669267156
230	1.665242135
231	1.66164927
232	1.657776454
233	1.653953439
234	1.650393602
235	1.646279415
236	1.642560375
237	1.638715122
238	1.635183936
239	1.631539323
240	1.627496297
241	1.624299528
242	1.620078865
243	1.616915588
244	1.61311885
245	1.60937857
246	1.605686033
247	1.602666488
248	1.599173546
249	1.595729529
250	1.591773914
251	1.588659183
252	1.585109668
253	1.582195151
254	1.578950045
255	1.575258886
256	1.572491467
257	1.568996443
258	1.565155999
259	1.561084361
260	1.557281464
261	1.553885182
262	1.550350465
263	1.547696958
264	1.544835779
265	1.541210933
266	1.537479344
267	1.533987607
268	1.530913645
269	1.528179331
270	1.525090702
271	1.522735926
272	1.519677049
273	1.516274699
274	1.513510193
275	1.509985507
276	1.506504683
277	1.503150243
278	1.499957333
279	1.496926518
280	1.493293485
281	1.489872741
282	1.487246235
283	1.484225454
284	1.48160578
285	1.478971633
286	1.475981899
287	1.473156342
288	1.470050568
289	1.467511279
290	1.46452742
291	1.461941922
292	1.459003125
293	1.455820479
294	1.453281271
295	1.449923718
296	1.446672173
297	1.443927224
298	1.441709787
299	1.438690366
300	1.43607263
301	1.433692763
302	1.430900036
303	1.427902682
304	1.424884661
305	1.422794224
306	1.420294948
307	1.417281924
308	1.414835389
309	1.41190154
310	1.409413189
311	1.406616321
312	1.403962963
313	1.401143956
314	1.398776869
315	1.396405277
316	1.393733899
317	1.391287576
318	1.389047554
319	1.386557443
320	1.38406173
321	1.381172736
322	1.378889165
323	1.376210987
324	1.373477354
325	1.370657041
326	1.367826354
327	1.365494245
328	1.363076475
329	1.360225621
330	1.357713419
331	1.354763639
332	1.352202227
333	1.3494283
334	1.346627033
335	1.34373943
336	1.340699215
337	1.337910035
338	1.334944686
339	1.332727247
340	1.330756238
341	1.327779483
342	1.325174198
343	1.322981335
344	1.320243752
345	1.317793676
346	1.315262777
347	1.313171916
348	1.310480278
349	1.308296971
350	1.305997243
351	1.304054085
352	1.302014595
353	1.299546659
354	1.297769629
355	1.295785375
356	1.293585355
357	1.291416118
358	1.288734539
359	1.286208988
360	1.283703797
361	1.281420928
362	1.279323331
363	1.276644765
364	1.274145382
365	1.271615204
366	1.269538256
367	1.267060506
368	1.264704702
369	1.262237687
370	1.259710833
371	1.257403396
372	1.254839211
373	1.252764228
374	1.25092368
375	1.249143509
376	1.247183698
377	1.245465635
378	1.243249712
379	1.241183931
380	1.238780856
381	1.237186309
382	1.235160414
383	1.233208919
384	1.231547034
385	1.229167643
386	1.22713249
387	1.225244168
388	1.222989589
389	1.221105502
390	1.219124178
391	1.216863171
392	1.214840655
