iter	Passed	Remaining
0	531	208349
1	946	184975
2	1374	178703
3	1765	171674
4	2190	169981
5	2637	170126
6	3039	167584
7	3454	166237
8	3848	164196
9	4248	162705
10	4647	161383
11	5049	160320
12	5462	159665
13	5858	158586
14	6271	158031
15	6679	157392
16	7100	157052
17	7513	156521
18	7909	155690
19	8319	155158
20	8734	154727
21	9134	154040
22	9530	153320
23	9939	152818
24	10345	152282
25	10746	151691
26	11166	151370
27	11579	150941
28	11988	150480
29	12396	149998
30	12805	149539
31	13245	149420
32	13658	149001
33	14109	148978
34	14508	148399
35	14928	148040
36	15376	147944
37	15831	147896
38	16253	147530
39	16653	146967
40	17068	146541
41	17476	146057
42	17886	145586
43	18306	145205
44	18714	144721
45	19110	144158
46	19520	143703
47	19905	143071
48	20319	142652
49	20735	142243
50	21166	141943
51	21589	141579
52	21990	141073
53	22404	140651
54	22824	140264
55	23264	140005
56	23706	139742
57	24146	139466
58	24595	139234
59	25027	138904
60	25463	138590
61	25887	138205
62	26328	137910
63	26730	137412
64	27191	137211
65	27634	136917
66	28067	136567
67	28491	136171
68	28895	135684
69	29319	135287
70	29725	134810
71	30112	134251
72	30518	133781
73	30898	133197
74	31308	132746
75	31711	132268
76	32104	131755
77	32513	131306
78	32919	130844
79	33314	130341
80	33708	129840
81	34113	129380
82	34536	128993
83	34921	128460
84	35321	127987
85	35731	127552
86	36136	127099
87	36537	126635
88	36948	126207
89	37337	125701
90	37783	125390
91	38195	124965
92	38686	124796
93	39124	124450
94	39535	124016
95	39952	123602
96	40388	123247
97	40812	122855
98	41231	122443
99	41634	121988
100	42071	121631
101	42484	121206
102	42912	120822
103	43334	120418
104	43729	119943
105	44150	119540
106	44591	119189
107	45016	118793
108	45443	118403
109	45878	118033
110	46331	117706
111	46752	117299
112	47152	116837
113	47618	116540
114	48020	116085
115	48424	115635
116	48830	115190
117	49253	114785
118	49730	114506
119	50145	114081
120	50591	113726
121	51009	113307
122	51412	112857
123	51846	112473
124	52248	112020
125	52668	111606
126	53058	111130
127	53451	110662
128	53873	110251
129	54293	109839
130	54712	109425
131	55128	109003
132	55522	108539
133	55935	108114
134	56360	107710
135	56772	107284
136	57181	106850
137	57594	106423
138	57982	105953
139	58395	105529
140	58810	105107
141	59272	104771
142	59687	104348
143	60125	103967
144	60551	103563
145	60971	103150
146	61452	102839
147	61864	102410
148	62279	101988
149	62746	101650
150	63140	101191
151	63573	100797
152	63969	100344
153	64371	99900
154	64769	99452
155	65170	99008
156	65586	98588
157	66006	98174
158	66414	97741
159	66829	97320
160	67222	96866
161	67657	96475
162	68050	96022
163	68465	95601
164	68876	95174
165	69273	94729
166	69694	94317
167	70118	93908
168	70514	93462
169	70918	93027
170	71323	92595
171	71753	92194
172	72176	91785
173	72566	91333
174	73004	90942
175	73408	90509
176	73810	90073
177	74236	89667
178	74645	89241
179	75056	88816
180	75463	88388
181	75861	87949
182	76265	87517
183	76704	87126
184	77122	86711
185	77539	86294
186	77932	85851
187	78327	85410
188	78740	84989
189	79153	84569
190	79572	84154
191	79982	83731
192	80392	83308
193	80806	82889
194	81220	82469
195	81622	82038
196	82041	81624
197	82443	81194
198	82848	80766
199	83262	80347
200	83675	79928
201	84121	79541
202	84544	79130
203	84956	78709
204	85374	78294
205	85820	77905
206	86244	77495
207	86646	77065
208	87053	76640
209	87476	76229
210	87927	75842
211	88396	75470
212	88816	75056
213	89248	74652
214	89659	74229
215	90066	73804
216	90466	73373
217	90845	72926
218	91262	72509
219	91662	72080
220	92058	71646
221	92496	71247
222	92904	70823
223	93325	70411
224	93722	69979
225	94124	69552
226	94545	69139
227	94960	68721
228	95357	68290
229	95779	67878
230	96178	67449
231	96573	67018
232	96998	66608
233	97394	66178
234	97809	65761
235	98195	65324
236	98623	64916
237	99048	64506
238	99447	64079
239	99847	63652
240	100273	63242
241	100691	62828
242	101108	62412
243	101513	61989
244	101936	61577
245	102346	61158
246	102747	60733
247	103163	60317
248	103571	59896
249	103966	59468
250	104377	59050
251	104785	58629
252	105201	58214
253	105614	57796
254	106056	57395
255	106485	56986
256	106876	56557
257	107268	56129
258	107690	55716
259	108108	55301
260	108533	54890
261	108945	54472
262	109335	54044
263	109767	53636
264	110173	53215
265	110592	52801
266	110998	52381
267	111404	51961
268	111824	51547
269	112215	51120
270	112613	50696
271	113014	50274
272	113404	49848
273	113825	49435
274	114230	49015
275	114639	48597
276	115050	48179
277	115446	47756
278	115855	47338
279	116268	46922
280	116675	46504
281	117087	46087
282	117472	45660
283	117856	45233
284	118260	44814
285	118659	44393
286	119057	43972
287	119455	43551
288	119857	43132
289	120238	42705
290	120647	42288
291	121036	41865
292	121447	41449
293	121842	41028
294	122248	40611
295	122668	40198
296	123084	39784
297	123499	39370
298	123895	38950
299	124287	38529
300	124693	38112
301	125108	37698
302	125517	37282
303	125940	36870
304	126396	36468
305	126805	36052
306	127230	35641
307	127636	35224
308	128076	34816
309	128482	34400
310	128884	33982
311	129295	33567
312	129711	33153
313	130135	32741
314	130545	32325
315	130962	31911
316	131357	31492
317	131750	31073
318	132169	30660
319	132555	30239
320	132981	29827
321	133412	29416
322	133822	29001
323	134248	28589
324	134660	28175
325	135097	27765
326	135516	27351
327	135929	26937
328	136361	26526
329	136768	26110
330	137177	25694
331	137600	25281
332	138013	24867
333	138423	24452
334	138833	24036
335	139243	23621
336	139669	23209
337	140076	22793
338	140479	22377
339	140892	21962
340	141297	21546
341	141691	21129
342	142083	20711
343	142480	20295
344	142899	19881
345	143308	19466
346	143699	19049
347	144116	18635
348	144511	18219
349	144893	17801
350	145286	17384
351	145678	16968
352	146088	16553
353	146494	16139
354	146881	15722
355	147294	15308
356	147704	14894
357	148131	14482
358	148548	14068
359	148950	13653
360	149353	13239
361	149755	12824
362	150167	12410
363	150587	11997
364	151001	11583
365	151412	11169
366	151810	10755
367	152215	10340
368	152640	9927
369	153044	9513
370	153448	9099
371	153851	8685
372	154252	8270
373	154648	7856
374	155033	7441
375	155420	7026
376	155831	6613
377	156218	6199
378	156633	5785
379	157041	5372
380	157444	4958
381	157844	4545
382	158270	4132
383	158669	3718
384	159110	3306
385	159507	2892
386	159885	2478
387	160301	2065
388	160701	1652
389	161090	1239
390	161529	826
391	161933	413
392	162323	0
